group_id,n_rows,accepted,reason,c_value,slope,intercept,rmse_log,synthetic_rows,split
state_0.120|0.330|0.500|0.010|0.005|2.170|1.000|0.010|0.070|0.060|0.010|0.005|0.008|0.004|0.000|0.050|0.000|0.010|0.000|1183.000|1.200|983.000|1.200|0.000|2.000,20,True,accepted,18.5,-4316.861936669757,27301.227273446722,0.2297373772683294,20,final_train
state_0.120|0.430|0.420|0.022|0.004|11.800|0.050|0.010|0.190|0.050|0.010|0.005|0.015|0.023|0.000|0.050|0.000|0.010|0.000|1223.000|1.000|923.000|2.000|0.000|2.000,22,False,rmse_too_high,22.25,-5667.126810159312,32968.48040806889,0.38447231004602006,0,final_train
state_0.120|0.410|0.460|0.020|0.004|12.100|0.040|0.010|0.230|0.060|0.010|0.005|0.014|0.032|0.000|0.050|0.000|0.010|0.000|1223.000|1.500|923.000|2.000|0.000|2.000,30,False,rmse_too_high,17.25,-4014.143816217814,25286.092676874167,0.46598503458248514,0,final_train
state_0.140|0.310|0.460|0.019|0.008|12.000|0.040|0.010|0.150|0.050|0.010|0.005|0.017|0.008|0.000|0.050|0.000|0.010|0.000|1223.000|1.000|923.000|2.000|0.000|2.000,26,False,rmse_too_high,22.25,-5177.474271101593,31690.190654130212,0.37317088408620386,0,final_train
state_0.140|0.500|0.670|0.027|0.010|11.780|0.180|0.010|0.320|0.210|0.010|0.005|0.018|0.036|0.000|0.050|0.000|0.010|0.000|1243.000|0.500|1023.000|1.000|0.000|2.000,23,False,rmse_too_high,27.75,-6147.2303629677035,37843.97176019094,0.5030822852934754,0,final_train
state_0.120|0.480|0.710|0.026|0.007|12.370|0.090|0.010|0.310|0.090|0.010|0.005|0.019|0.038|0.000|0.050|0.000|0.010|0.000|1243.000|0.500|1023.000|1.000|0.000|2.000,25,False,rmse_too_high,25.75,-6274.315557659745,35881.013121082055,0.5209999349715909,0,final_train
state_0.120|0.210|0.660|0.028|0.003|11.800|0.130|0.010|0.410|0.100|0.010|0.005|0.039|0.002|0.000|0.050|0.000|0.010|0.000|1243.000|0.500|1023.000|1.000|0.000|2.000,24,False,rmse_too_high,28.25,-7103.0594020369035,40520.73932185369,0.35082210188251467,0,final_train
state_0.120|0.500|0.610|0.016|0.014|11.640|0.180|0.010|0.430|0.080|0.010|0.005|0.026|0.044|0.000|0.050|0.000|0.010|0.000|1253.000|0.500|923.000|2.000|903.000|2.000,29,True,accepted,16.0,-3619.1053454097396,23507.861798461036,0.2647237918112475,20,final_train
state_0.140|0.280|0.590|0.018|0.017|11.920|0.210|0.010|0.450|0.040|0.010|0.005|0.030|0.007|0.000|0.050|0.000|0.010|0.000|1253.000|0.500|903.000|2.000|883.000|2.000,22,True,accepted,22.5,-5659.525261693061,33238.402585330376,0.322143918494859,20,final_train
state_0.230|0.370|0.550|0.023|0.008|11.300|1.200|0.960|0.640|0.110|0.220|0.005|0.019|0.039|0.000|0.040|0.000|0.010|0.000|1303.000|0.670|903.000|3.000|0.000|2.000,23,False,rmse_too_high,18.75,-3853.939280605892,27418.37555876321,0.48290165810804125,0,final_train
state_0.230|0.300|0.590|0.028|0.008|12.100|1.220|1.090|0.670|0.120|0.240|0.005|0.021|0.020|0.000|0.040|0.000|0.010|0.000|1303.000|0.670|903.000|3.000|0.000|2.000,22,False,rmse_too_high,19.0,-3850.125532269767,27841.79309103871,0.4645053852944311,0,final_train
state_0.210|0.410|0.600|0.026|0.009|12.900|0.930|0.930|0.670|0.130|0.210|0.005|0.021|0.023|0.000|0.150|0.000|0.010|0.000|1303.000|1.000|903.000|2.000|0.000|2.000,19,False,rmse_too_high,16.5,-3356.666100451203,24422.708985828678,0.4689208264880638,0,final_train
state_0.090|0.450|0.450|0.021|0.014|9.150|0.930|0.010|0.120|0.060|0.010|0.005|0.017|0.009|0.000|0.100|0.000|0.010|0.000|1173.000|0.660|1003.000|1.500|0.000|2.000,23,True,accepted,27.5,-6221.433615459832,38551.87335698468,0.2076252291155195,20,final_train
